epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.2289,1.00206,3.8291,0.96858,0.03037,0.93182,0.50844,0.26016,0.97022,2.98379,0.92679,0.00026,0.00026,0.00026
2,181.449,0.97803,1.3287,0.9372,0.03149,0.96591,0.2831,0.14991,1.10886,2.84687,0.95397,0.000516757,0.000516757,0.000516757
3,249.337,0.92291,0.89868,0.90974,0.03116,0.95597,0.39619,0.28305,0.91442,2.62763,0.91392,0.000749409,0.000749409,0.000749409
4,319.054,0.93313,0.86189,0.96397,0.95188,0.19671,0.48939,0.33179,1.03428,2.4306,0.9891,0.000957957,0.000957957,0.000957957
5,387.383,0.9174,0.8802,0.91886,0.912,0.2061,0.64492,0.44357,0.96886,2.18825,0.98792,0.0011424,0.0011424,0.0011424
6,455.808,0.80522,0.73245,0.87721,0.81136,0.46733,0.68025,0.50099,0.90986,1.83502,0.96598,0.00130274,0.00130274,0.00130274
7,522.813,0.78034,0.72724,0.8962,0.86237,0.69422,0.85476,0.62891,0.93069,1.603,0.99652,0.00143897,0.00143897,0.00143897
8,593.068,0.80109,0.68002,0.90072,0.95128,0.90057,0.93299,0.65094,0.95322,1.05844,0.98186,0.00139739,0.00139739,0.00139739
9,665.989,0.73947,0.66307,0.86923,0.93095,0.90483,0.93254,0.66866,0.90169,0.96063,0.97162,0.0013113,0.0013113,0.0013113
10,737.587,0.79058,0.67852,0.88691,0.90172,0.8821,0.92096,0.68604,0.796,0.90519,0.91342,0.00122522,0.00122522,0.00122522
11,806.016,0.76331,0.65781,0.89733,0.9331,0.93113,0.95839,0.749,0.74936,0.69288,0.89702,0.00113913,0.00113913,0.00113913
12,911.224,0.65108,2.40572,0.80188,0.96448,0.89915,0.95301,0.72843,0.75454,0.73911,0.90889,0.00105304,0.00105304,0.00105304
13,985.093,0.71415,0.63439,0.87469,0.95663,0.91051,0.95753,0.7283,0.77953,0.6646,0.91153,0.000966957,0.000966957,0.000966957
14,1053.67,0.71754,0.62777,0.88035,0.95928,0.90339,0.9507,0.70914,0.80828,0.69082,0.93268,0.00088087,0.00088087,0.00088087
15,1133.17,0.65637,2.24742,0.81474,0.96972,0.90341,0.96361,0.75831,0.75206,0.64361,0.91326,0.000794783,0.000794783,0.000794783
16,1204.98,0.63464,2.55336,0.81348,0.97151,0.92023,0.96735,0.7613,0.7294,0.65253,0.91229,0.000708696,0.000708696,0.000708696
17,1271.38,0.60143,1.81546,0.80139,0.9638,0.91619,0.96525,0.76506,0.72297,0.61984,0.9158,0.000622609,0.000622609,0.000622609
18,1339.34,0.62399,0.58256,0.85588,0.96743,0.91335,0.95754,0.78384,0.64971,0.59407,0.88074,0.000536522,0.000536522,0.000536522
19,1406.68,0.6179,0.5607,0.85158,0.98076,0.91477,0.96056,0.77084,0.67996,0.54971,0.89411,0.000450435,0.000450435,0.000450435
20,1474.91,0.59957,0.52102,0.82974,0.97754,0.92719,0.9664,0.7919,0.64306,0.56641,0.87518,0.000364348,0.000364348,0.000364348
21,1543.21,0.55948,1.52721,0.78924,0.97344,0.9304,0.97115,0.80296,0.63388,0.54498,0.88141,0.000278261,0.000278261,0.000278261
22,1611.22,0.58955,0.53651,0.83813,0.97752,0.92638,0.96877,0.79495,0.66829,0.52838,0.88127,0.000192174,0.000192174,0.000192174
23,1680.13,0.59205,0.50526,0.84344,0.97598,0.94034,0.96291,0.79558,0.6578,0.54116,0.88169,0.000106087,0.000106087,0.000106087
